,mean,scale
period,51.19583697364549,1049.7218583222989
duration,4.490147693327763,5.266899886438883
depth,17775.308459401855,64582.81312614806
stellar_radius,1.599133590377322,4.81387204127458
stellar_mass,1.000890374750916,0.265115959452038
stellar_mag,13.075330740952625,1.937206987417021
