obj_id,object_name,source,label,label_source,period,duration,depth,stellar_radius,stellar_mass,stellar_mag
398943781,398943781,TOI,1.0,KP,3.0524018,2.483,22270.0,0.88,0.974,10.7875
398945279,398945279,TOI,1.0,PC,9.5098954,1.448,6596.0,1.14,0.974,12.8316
39903405,39903405,TOI,1.0,KP,5.633477,4.132,5651.0,1.7,0.974,8.27468
399058051,399058051,TOI,1.0,PC,1.5706704,3.3750912,16439.18774,1.077,0.974,13.5735
399144800,399144800,TOI,0.0,FP,27.2149622,3.7190483,4731.404623,0.989667,0.974,10.6392
399195246,399195246,TOI,1.0,PC,1.6930171,2.759,10940.0,1.64,0.974,12.6705
39926974,39926974,TOI,1.0,KP,2.2602655,1.0103493,6129.678827,0.341024,0.974,13.3455
399346877,399346877,TOI,1.0,PC,3.9606593,3.442,5810.0,1.4,0.974,12.9762
399402994,399402994,TOI,1.0,KP,2.7161298,3.5299033,14527.44702,1.18678,0.974,11.8886
399444057,399444057,TOI,0.0,FP,2.0714803,3.108,1660.0,2.46,0.974,11.6433
399571743,399571743,TOI,1.0,PC,4.7443604,1.139,9002.0,0.75,0.974,12.6204
399613138,399613138,TOI,0.0,FP,8.1958135,1.182,8230.0,1.45,0.974,12.1245
399642071,399642071,TOI,0.0,FP,2.2887763,4.8634851,1890.646342,0.617703,0.974,11.1567
399724238,399724238,TOI,1.0,PC,46.1965072,3.718,8460.0,0.91,0.974,12.3207
399757537,399757537,TOI,1.0,PC,6.4879123,1.648,7260.0,1.73,0.974,12.8181
399794420,399794420,TOI,1.0,KP,1.5947535,1.94145,15065.25655,1.15986,0.974,15.0236
399847887,399847887,TOI,1.0,PC,3.9511085,3.436472,13125.9567,1.37614,0.974,13.484
399860444,399860444,TOI,1.0,KP,2.4706114,1.794486,14310.71598,1.01613,0.974,10.854
399868187,399868187,TOI,1.0,PC,1.2311781,2.756,3562.0,1.53,0.974,10.5347
399871011,399871011,TOI,1.0,PC,12.35611,5.963,8020.0,1.45,0.974,11.0412
399954349,399954349,TOI,1.0,KP,7.8344688,3.1260803,2017.362877,0.731146,0.974,11.6052
399956873,399956873,TOI,0.0,FP,6.949428,2.725,3050.0,1.61,0.974,11.7513
400073524,400073524,TOI,1.0,PC,0.6534841,0.988,1970.0,1.53,0.974,12.547
400093502,400093502,TOI,1.0,PC,10.66839,2.717,460.0,1.37,0.974,9.67596
400093775,400093775,TOI,1.0,PC,3.6022715,2.752,9700.0,1.45,0.974,12.5401
400103802,400103802,TOI,1.0,PC,4.2511214,2.823,13830.0,0.94,0.974,12.1311
400235555,400235555,TOI,1.0,PC,0.5289141,1.087,2503.0,1.34,0.974,12.7353
