mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_n_estimators,param_min_samples_split,param_max_features,param_max_depth,param_class_weight,params,split0_test_f1,split1_test_f1,split2_test_f1,split3_test_f1,split4_test_f1,mean_test_f1,std_test_f1,rank_test_f1,split0_train_f1,split1_train_f1,split2_train_f1,split3_train_f1,split4_train_f1,mean_train_f1,std_train_f1,split0_test_roc_auc,split1_test_roc_auc,split2_test_roc_auc,split3_test_roc_auc,split4_test_roc_auc,mean_test_roc_auc,std_test_roc_auc,rank_test_roc_auc,split0_train_roc_auc,split1_train_roc_auc,split2_train_roc_auc,split3_train_roc_auc,split4_train_roc_auc,mean_train_roc_auc,std_train_roc_auc
0.34680862426757814,0.010630483894170734,0.8174051284790039,0.2603631513992921,100,5,0.6,10,,"{'n_estimators': 100, 'min_samples_split': 5, 'max_features': 0.6, 'max_depth': 10, 'class_weight': None}",0.8146328146328147,0.815401419989077,0.8081348675408081,0.8136964141277973,0.8140973903685768,0.8131925813318148,0.0025925368211918553,24,0.8246678023850085,0.8226557753324782,0.821320411871593,0.8227831016331488,0.8214093598708984,0.8225672902186254,0.0012134301665626256,0.7846699289408355,0.8020896188594715,0.7892065289568162,0.7919115438767609,0.8080362432047434,0.7951827727677255,0.008600610897877576,27,0.8167633087836181,0.8106192715609044,0.8036491396922882,0.8052637665076858,0.806119480619226,0.8084829934327444,0.004742216008356849
2.0551190853118895,0.10011005733330053,1.0511236667633057,0.06505009048502516,300,5,0.3,10,balanced,"{'n_estimators': 300, 'min_samples_split': 5, 'max_features': 0.3, 'max_depth': 10, 'class_weight': 'balanced'}",0.7601692157500813,0.777992277992278,0.7533573534228628,0.7640376501135995,0.7698744769874477,0.7650861948532539,0.008394480075137385,28,0.7743247640741946,0.7714631197097944,0.7639408226304666,0.7641640172821391,0.7700129115558425,0.7687811270504875,0.00410337759983838,0.7518770475316653,0.7766981597357117,0.7518102315277858,0.7600244670562659,0.7758254187365852,0.7632470649176029,0.011041834330582128,30,0.7825691855611304,0.7748638623920956,0.7657211341086745,0.7703815934308158,0.7690271271253688,0.772512580523617,0.005821976762125683
2.685981559753418,0.1884239530601795,0.746326208114624,0.10811386444668535,300,5,sqrt,40,,"{'n_estimators': 300, 'min_samples_split': 5, 'max_features': 'sqrt', 'max_depth': 40, 'class_weight': None}",0.8544457978075518,0.8595092024539878,0.854628224582701,0.8560169748408608,0.8622681666159927,0.8573736732602187,0.003048511894530077,2,0.9907613889773813,0.9902897166507482,0.9900469782626006,0.990920675374323,0.9916327994262492,0.9907303117382604,0.0005500466899809347,0.8671367206980827,0.8820160248197346,0.873871705006654,0.8728946070530146,0.8827664994200095,0.8757371113994991,0.005905308490992995,3,0.999908386303959,0.9998904338080714,0.999883028941662,0.9999045977676565,0.999920354634551,0.99990136029118,1.323674882947223e-05
4.405932235717773,0.19497428417091286,2.025000238418579,0.1890212300733101,600,5,0.6,10,balanced,"{'n_estimators': 600, 'min_samples_split': 5, 'max_features': 0.6, 'max_depth': 10, 'class_weight': 'balanced'}",0.7533333333333333,0.7669223074358119,0.7466307277628033,0.758,0.7610441767068273,0.7571861090477552,0.0068789623980957375,30,0.7697181924295481,0.7645193591455274,0.7613227291753872,0.762,0.7623438678849862,0.7639808297270898,0.0030619005123377037,0.7832399286928584,0.7985029082182307,0.7911841449066919,0.7937155759815063,0.8100889410558857,0.7953462997710345,0.008875321547050693,26,0.8161932632247471,0.808382937327966,0.8080963862185448,0.8083856495755462,0.8092960606799527,0.8100708594053513,0.003087772629836768
6.235078048706055,0.38407750482573716,1.7624518394470214,0.24104393064829435,600,5,0.3,,balanced,"{'n_estimators': 600, 'min_samples_split': 5, 'max_features': 0.3, 'max_depth': None, 'class_weight': 'balanced'}",0.8384030418250951,0.8490983865865233,0.8450439146800501,0.8476696903346888,0.855608214849921,0.8471646496552557,0.0055955604975442075,13,0.9940216513168525,0.9946714031971581,0.9945072697899838,0.994509930566769,0.9945081570020998,0.9944436823745726,0.000220252648874921,0.8610674855415678,0.8758028252837271,0.8688670485511258,0.8655324477801933,0.8797615013073894,0.8702062616928007,0.006779076426628467,11,0.9998549593317848,0.9998937057257871,0.9998399343412218,0.9998705439924835,0.9998680900541967,0.9998654466890947,1.7846050504334003e-05
1.6646427631378173,0.13695453469532065,1.3629965782165527,0.12317602073137504,100,5,log2,40,balanced,"{'n_estimators': 100, 'min_samples_split': 5, 'max_features': 'log2', 'max_depth': 40, 'class_weight': 'balanced'}",0.8447676256718305,0.85028427037271,0.8504672897196262,0.8445141065830721,0.8529040404040404,0.8485874665502559,0.0033534798032466987,10,0.9957480946650622,0.9952675062164114,0.9954183747287195,0.9963840899959823,0.9968641955455496,0.9959364522303449,0.0006020728972108018,0.8669369615112265,0.8805336738883057,0.8737377285865041,0.8685694762451887,0.8793461399636853,0.873824796038982,0.0054874859834000995,7,0.999898140035323,0.9998809194157663,0.9998778197042462,0.9999188478303397,0.9999420095636432,0.9999035473098636,2.4152104639925212e-05
1.496746301651001,0.26803080970526344,1.0079121589660645,0.09697326780324429,100,5,0.3,,,"{'n_estimators': 100, 'min_samples_split': 5, 'max_features': 0.3, 'max_depth': None, 'class_weight': None}",0.8512571947894577,0.8615571039079067,0.851140456182473,0.8557692307692307,0.8546546546546546,0.8548757280607446,0.0038087804555266896,6,0.9889392854300947,0.9883942766295708,0.9884618445134081,0.988154861276731,0.9885496183206107,0.9884999772340832,0.00025580761316035017,0.8630864309783791,0.875223179229453,0.8680211717185077,0.8668098733388991,0.8764840729933846,0.8699249456517247,0.0051222406067807915,12,0.9997206600250181,0.9997861199051076,0.9997310784998498,0.9997304973039398,0.9997939983385546,0.999752470814494,3.101351051628434e-05
1.3692352294921875,0.14695723506351857,0.9339640140533447,0.0775613658055496,100,2,0.6,,,"{'n_estimators': 100, 'min_samples_split': 2, 'max_features': 0.6, 'max_depth': None, 'class_weight': None}",0.8531038721573448,0.8528864059590316,0.854262144821265,0.8574946137273007,0.8607594936708861,0.8557013060671658,0.0030180366076206834,5,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.866190275447254,0.8800983366259157,0.873675045531318,0.87066453682044,0.8824141655438824,0.874608471993762,0.0059725942133307544,6,1.0,1.0,1.0,1.0,1.0,1.0,0.0
2.609015369415283,0.2974418202618324,1.29870548248291,0.3194742254614347,300,5,0.3,,,"{'n_estimators': 300, 'min_samples_split': 5, 'max_features': 0.3, 'max_depth': None, 'class_weight': None}",0.8513595166163141,0.8586102719033233,0.8523510032943995,0.8557721139430284,0.8535489667565139,0.8543283745027159,0.00259810005199224,7,0.9891771446761102,0.9889480798282579,0.988070621918244,0.9891053677932405,0.9894988066825776,0.9889600041796861,0.0004795272066483553,0.8620621485271549,0.875383330991329,0.8692441801194146,0.8668708343321293,0.878721375886173,0.8704563739712402,0.005956067349783992,10,0.9997854526060996,0.9998354785059116,0.9997765624612536,0.9998008004832795,0.9998319913304514,0.999806057077399,2.3917835763039147e-05
1.5788517475128174,0.21451044698541988,1.0425680160522461,0.26468993895166276,100,5,log2,,,"{'n_estimators': 100, 'min_samples_split': 5, 'max_features': 'log2', 'max_depth': None, 'class_weight': None}",0.8541666666666666,0.8608454180808393,0.8589626933575978,0.8587022437841115,0.8623741226731767,0.8590102289124785,0.0027655346757638056,1,0.9950415866922585,0.9949612093097656,0.9963956748097718,0.9957583033213285,0.9959980790779575,0.9956309706422164,0.0005534814109891805,0.8663142639080611,0.8831921931354478,0.8747299806853531,0.8719867359899928,0.8821555118381428,0.8756757371113995,0.006334429046074548,4,0.9999691750909938,0.9999763216481098,0.9999778499780954,0.9999763646996587,0.9999865679167459,0.9999772558667207,5.5503715819917e-06
