mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_n_estimators,param_learning_rate,param_estimator__max_depth,params,split0_test_f1,split1_test_f1,split2_test_f1,split3_test_f1,split4_test_f1,mean_test_f1,std_test_f1,rank_test_f1,split0_train_f1,split1_train_f1,split2_train_f1,split3_train_f1,split4_train_f1,mean_train_f1,std_train_f1,split0_test_roc_auc,split1_test_roc_auc,split2_test_roc_auc,split3_test_roc_auc,split4_test_roc_auc,mean_test_roc_auc,std_test_roc_auc,rank_test_roc_auc,split0_train_roc_auc,split1_train_roc_auc,split2_train_roc_auc,split3_train_roc_auc,split4_train_roc_auc,mean_train_roc_auc,std_train_roc_auc
4.661578130722046,0.04325625420808964,0.2741142749786377,0.04044536253005226,200,0.1,2,"{'n_estimators': 200, 'learning_rate': 0.1, 'estimator__max_depth': 2}",0.8415723645026801,0.852419597234746,0.8509242695289206,0.8483412322274881,0.8481769276748357,0.8482868782337342,0.003718465740377396,6,0.861171204774338,0.8597642846486647,0.8583588441723289,0.8583774119049393,0.8586794144009561,0.8592702319802454,0.0010802413099245936,0.8416760346837054,0.8615520737758894,0.8621565175223248,0.8519784425396143,0.8658592951393768,0.8566444727321821,0.008777312950304449,7,0.8827611610279471,0.881493335964644,0.879623499567418,0.8815197911414376,0.8777813453161293,0.8806358266035152,0.00174393987697127
0.7695064544677734,0.040497041523119795,0.06581315994262696,0.012640587143798293,50,0.01,1,"{'n_estimators': 50, 'learning_rate': 0.01, 'estimator__max_depth': 1}",0.7978255242039866,0.7981171548117155,0.7939206594538898,0.7980321077162092,0.7937743190661478,0.7963339530503898,0.002032930614314023,30,0.7962650758656464,0.7963742311427646,0.7973245015910124,0.7959831551668286,0.7973034290529591,0.7966500785638423,0.0005569235092944321,0.7247456170079105,0.7426433513254367,0.7219176468643318,0.7402603619911997,0.7570948952573036,0.7373323744892364,0.012832592135015477,30,0.7329395752568627,0.7327730518657507,0.7380702651217704,0.7323559469343164,0.7629447827722168,0.7398167243901834,0.011751841622301801
4.958264350891113,0.2844426316140697,0.3857208251953125,0.06854197015061099,200,0.01,2,"{'n_estimators': 200, 'learning_rate': 0.01, 'estimator__max_depth': 2}",0.8352017937219731,0.8413284132841329,0.833752444816988,0.8310296191819464,0.8342276193165772,0.8351079780643236,0.0034043539411845796,19,0.8405960078718021,0.838239456552505,0.8400112470125123,0.8404180200536647,0.8359325382824078,0.8390394539545785,0.001764120583833587,0.7965218481444438,0.8230629558297997,0.806502574827036,0.8034438483813995,0.815939129931641,0.809094071422864,0.00936681622270712,25,0.8204484567913992,0.8168008927858003,0.8161350790564202,0.8166181820123052,0.8119479715143398,0.816390116432053,0.0027014282565682377
12.482775926589966,0.17904553536637577,0.5129966735839844,0.072074611565857,500,0.1,2,"{'n_estimators': 500, 'learning_rate': 0.1, 'estimator__max_depth': 2}",0.8401329706860079,0.8542682926829268,0.8502415458937198,0.8420102317183268,0.8536733454766242,0.8480652772915211,0.005903372573724723,7,0.8756805807622504,0.8732436924006648,0.8734848484848485,0.8744333635539437,0.8735806207418623,0.8740846211887139,0.0008932651533522753,0.8513715879064412,0.8677983369014456,0.8664199985121385,0.8586638314638629,0.8742602021838501,0.8637027913935477,0.007912841799772998,4,0.9091760630977278,0.9062032890694529,0.9080848785395261,0.9093745737896661,0.9062644437946531,0.9078206496582052,0.0013681574956051158
3.379883861541748,0.26802441099027424,0.21210579872131347,0.021695380584078734,200,1.0,1,"{'n_estimators': 200, 'learning_rate': 1.0, 'estimator__max_depth': 1}",0.8282950423216445,0.8345454545454546,0.8383627128772034,0.8352835283528353,0.8311057108140948,0.8335184897822465,0.003485467569697805,21,0.8481738605493511,0.8452380952380952,0.8445619335347432,0.8446221149494645,0.845385597356762,0.8455963203256831,0.001329321265605783,0.8197221556358265,0.8345811394264019,0.8370491986212484,0.8317256162915326,0.8456529645640978,0.8337462149078213,0.008415872444051207,14,0.8615128968663982,0.8585174346718576,0.8572251132772354,0.8602120297393211,0.8554612267418311,0.8585857402593288,0.002136895853042438
1.2361351013183595,0.013630898108700754,0.07497529983520508,0.012041647311714865,50,0.1,2,"{'n_estimators': 50, 'learning_rate': 0.1, 'estimator__max_depth': 2}",0.8422584400465658,0.8417350527549824,0.8460648148148148,0.8366695677400638,0.8426277372262774,0.8418711225165408,0.0030127802061669755,14,0.8477024070021881,0.8480524208227157,0.8464452214452215,0.8480570513753457,0.846013567729229,0.84725413367494,0.0008574649894773323,0.8182036414033289,0.8382301887104373,0.832889385761165,0.8228693960659839,0.8427168489297041,0.8309818921741238,0.009197628285424276,16,0.8449122411396468,0.8425604426525816,0.8404654897062025,0.8419867592378292,0.8379688227571176,0.8415787510986755,0.0023027495895574473
3.1581438541412354,0.18402247268914804,0.2290815830230713,0.026870091963343112,200,0.1,1,"{'n_estimators': 200, 'learning_rate': 0.1, 'estimator__max_depth': 1}",0.8330373001776199,0.8317591499409681,0.8434858641795395,0.8366089762393664,0.8333823097267117,0.835654720052841,0.004229128165299928,18,0.8406904149834741,0.8414472716575967,0.8402349486049927,0.8389899138629169,0.8407241808986293,0.8404173460015218,0.0008124398440021944,0.8078654146587424,0.8232399837988411,0.8228769731385889,0.8186641207702714,0.8302966492807291,0.8205886283294346,0.007376933970653031,22,0.8328470015112817,0.8315231879086452,0.8298224364696902,0.8297883181171939,0.827229635411931,0.8302421158837484,0.0018912258713383815
10.587336444854737,0.18459738877360712,0.24353599548339844,0.034147129171174594,200,0.1,5,"{'n_estimators': 200, 'learning_rate': 0.1, 'estimator__max_depth': 5}",0.8267740935853735,0.8423676012461059,0.840958605664488,0.8396429670667898,0.8365770775409329,0.837264069020738,0.005583302607395824,17,0.9551611396543671,0.9574584341581454,0.9612621055920025,0.9494181536074476,0.9586518957715713,0.9563903457567069,0.004002795927949416,0.8113357139117808,0.8330006309635006,0.8379870335622988,0.826029379754613,0.8311683570426822,0.8279042230469751,0.00912492788591129,17,0.9898676027106633,0.9907502670918092,0.9923923607953997,0.9871741471315959,0.9914439997506453,0.9903256754960227,0.0017801166813905477
0.8520361900329589,0.0907187844739768,0.06054048538208008,0.00816603344087714,50,0.05,1,"{'n_estimators': 50, 'learning_rate': 0.05, 'estimator__max_depth': 1}",0.8139845209500934,0.8147351438558752,0.8131634819532909,0.8179088179088179,0.8228508651469376,0.8165285659630032,0.0035465160560632105,29,0.8136770402030186,0.8134666666666667,0.8150872734568314,0.8230227630049901,0.8223225276979893,0.8175152542058992,0.004253482571079789,0.7682273369758388,0.7891255920449003,0.7697592832915905,0.7772809055015059,0.7701884211309401,0.7749163077889551,0.007761252809497047,29,0.7827387010348903,0.778514396954568,0.7810352158225808,0.7815175438505857,0.7761914430052599,0.779999460133577,0.0023489238314506142
0.7844893932342529,0.03956358279374692,0.06068711280822754,0.010433597275232478,50,0.5,1,"{'n_estimators': 50, 'learning_rate': 0.5, 'estimator__max_depth': 1}",0.8273402674591381,0.8316417910447761,0.841764705882353,0.8361814967589865,0.8324420677361853,0.8338740657762876,0.004843771843023835,20,0.8405711326477768,0.8403846153846154,0.8377716786588532,0.8384085352300511,0.8387573964497042,0.8391786716742,0.0011084638107074249,0.8119787318460229,0.822434058803594,0.8251621493537447,0.8201306287317083,0.8319983909053087,0.8223407919280756,0.006534448483799498,20,0.8354007548141964,0.8331845902319135,0.8326368238495938,0.8331461451987535,0.8304062369984322,0.832954910218578,0.001591753349819388
